make,model_principal,alias
Ford,Bronco,bronco 4wd
Ford,Ltd,ltd wagon
Chevrolet,S10 Pickup,s10 pickup 2wd
Dodge,Ram 50 Pickup,ram 50 pickup 2wd
Ford,Ranger,ranger pickup 2wd
Mitsubishi,Truck,truck 2wd
Ford,Ranger,ranger pickup 4wd
Gmc,Jimmy,t15 (s15) jimmy 4wd
Jeep,J-10 Pickup,j-10 pickup 4wd
Gmc,Vandura,vandura g15/25 2wd
Ford,E150 Club Wagon,e150 club wagon 2wd
Gmc,Rally,g15/25 rally 2wd
Toyota,Van,van 2wd
Volkswagen,Vanagon,vanagon 2wd
Am General,Fj8C Post Office,fj8c post office
Dodge,Caravan/Ram Van,caravan/ram van 2wd
Jeep,Cherokee/Wagoneer,cherokee/wagoneer 4wd
Jeep,Cj,cj7 4wd
Audi,R8,r8
Lamborghini,Gallardo,gallardo coupe
Volvo,C70,c70 fwd
Dodge,Challenger,challenger
Audi,A3,a3
Chevrolet,Hhr,hhr fwd
Ford,Edge,edge fwd
Volkswagen,Tiguan,tiguan
Volvo,Xc90,xc90 awd
Volvo,240,240
Import Trade Services,Its 190E 2.3,its 190e 2.3
Bmw,5 Series,525i
Acura,Legend,legend
Nissan,300Zx,300zx
Volkswagen,Passat,passat
Chevrolet,C1500 Pickup,c1500 pickup 2wd
Chevrolet,C2500 Pickup,c2500 pickup 2wd
Buick,Riviera,riviera
Jaguar,Vanden Plas,vanden plas
Chevrolet,Lumina/Monte Carlo,lumina/monte carlo
Morgan,Plus Eight,plus eight
Chevrolet,Impala,impala police
Volkswagen,Cc,cc
Gmc,Canyon,canyon 2wd
Acura,Rdx,rdx 4wd
Jeep,Wrangler,wrangler 4wd
Gmc,Canyon,canyon crew cab 4wd
Mercury,Mariner,mariner 4wd ffv
Mercedes-Benz,Cls-Class,cls63 amg
Suzuki,Equator,equator 2wd
Toyota,Celica,celica convertible
Mazda,Rx-7,rx-7
Chevrolet,Corvette,corvette
Dodge,Caravan/Grand Caravan,caravan/grand caravan 2wd
Mini,Cooper,cooper
Acura,Tl,tl 4wd
Dodge,Caliber,caliber
Mazda,5,5
Chevrolet,Silverado,silverado c15 2wd
Gmc,Yukon,yukon 1500 2wd
Mini,John Cooper Works,john cooper works convertible
Bmw,Z4,z4 sdrive30i
Nissan,Altima,altima
Bmw,X5,x5 xdrive35d
Suzuki,Kizashi,kizashi
Chrysler,Lebaron,lebaron convertible
Jaguar,Xk,xk
Mitsubishi,Eclipse,eclipse
Nissan,Gt-R,gt-r
Nissan,Sentra,sentra honeybee
Infiniti,M37,m37x
Bmw,7 Series,740i
Toyota,Avalon,avalon
Chevrolet,Colorado,colorado cab chassis inc 4wd
Chevrolet,Avalanche,avalanche 1500 2wd
Dodge,Colt,colt
Volkswagen,Golf/Gti,gti
Subaru,Impreza/Outback Sport,impreza awd
Ford,Focus,focus fwd
Chevrolet,Camaro,camaro
Ford,Fusion,fusion fwd
Gmc,Sierra,sierra k15 awd
Gmc,Acadia,acadia fwd
Hyundai,Tucson,tucson 2wd
Chevrolet,Tahoe,tahoe hybrid 4wd
Mini,Cooper,cooper convertible
Lexus,Is,is 250/is 250c
Lexus,Gs,gs 460
Nissan,Sentra,sentra
Bmw,7 Series,alpina b7 swb
Mitsubishi,Outlander,outlander sport 2wd
Toyota,Land Cruiser,land cruiser wagon 4wd
Lexus,Ls,ls 600h l
Mazda,Cx-7,cx-7 2wd
Nissan,Pathfinder,pathfinder 4wd
Jeep,Compass,compass 2wd
Saab,9-3,9-3 sedan awd
Ford,Thunderbird,thunderbird
Porsche,911,911 carrera 4s targa
Ford,Mustang,mustang convertible
Infiniti,M35,m35h
Mazda,6,6
Gmc,Canyon,canyon crew cab 2wd
Chevrolet,Express Passenger,express 1500 awd passenger
Kia,Sorento,sorento 2wd
Bmw,X6,x6 xdrivem
Mercedes-Benz,Sl-Class,sl550
Hyundai,Genesis,genesis coupe
Chrysler,200,200
Chevrolet,Tahoe,tahoe 1500 2wd
Chevrolet,Tahoe,tahoe 1500 4wd
Volvo,Xc60,xc60 awd
Mazda,Mx-5,mx-5
Mini,Cooper,cooper s convertible
Acura,Tsx,tsx
Mini,Countryman,cooper s countryman all4
Mercedes-Benz,S-Class,s550
Toyota,Tacoma,tacoma 4wd
Chevrolet,Silverado,silverado 15 hybrid 4wd
Chevrolet,Beretta,beretta
Chevrolet,Corsica,corsica
Lexus,Hs,hs 250h
Mitsubishi,Lancer,lancer
Mazda,3,3 di 5-door
Dodge,Omni,omni
Ford,F150,f150 pickup 2wd ffv
Toyota,4Runner,4runner 4wd
Nissan,Titan,titan 4wd
Dodge,Shadow,shadow
Toyota,Venza,venza
Hyundai,Elantra,elantra
Mercedes-Benz,E-Class,e350 4matic coupe
Porsche,Boxster,boxster
Hyundai,Equus,equus
Gmc,Savana Passenger,savana 2500 2wd (passenger)
Audi,A5,a5 quattro
Mercedes-Benz,Slk-Class,slk55 amg
Chevrolet,Spark,spark
Audi,A6,a6
Peugeot,505,505 sedan
Gmc,Terrain,terrain fwd
Infiniti,Fx37,fx37 rwd
Infiniti,Fx50,fx50 awd
Mercedes-Benz,Glk-Class,glk350 4matic
Mercedes-Benz,Ml-Class,ml63 amg
Mazda,3,3
Pontiac,Grand Am,grand am
Mazda,Speed 3,speed 3
Mercedes-Benz,E-Class,e350 4matic
Mini,Countryman,jcw countryman coupe all4
Renault,Alliance/Encore,alliance
Suzuki,Sx4,sx4 sedan
Bmw,5 Series,550i xdrive
Bmw,7 Series,750i xdrive
Toyota,Matrix,matrix
Toyota,Tacoma,tacoma 2wd
Chevrolet,Traverse,traverse awd
Honda,Accord,accord
Merkur,Xr4Ti,xr4ti
Ford,F150,f150 pickup 4wd
Ram,1500,1500 4wd
Toyota,Corolla,corolla
Mitsubishi,Outlander,outlander 4wd
Volkswagen,Golf/Gti,golf
Audi,Q5,q5
Land Rover,Lr4,lr4
Ford,Focus,focus fwd ffv
Audi,Rs 5,rs 5 cabriolet
Toyota,Avalon,avalon hybrid
Mazda,Cx-5,cx-5 2wd
Nissan,Xterra,xterra 4wd
Toyota,Rav4,rav4 awd
Aston Martin,Db9,db9
Porsche,Cayman,cayman
Bentley,Flying Spur,flying spur
Honda,Accord,accord plug-in hybrid
Buick,Century,century
Acura,Mdx,mdx 4wd
Porsche,911,911 carrera 4 cabriolet
Gmc,Savana Cargo,savana 1500  awd conversion (cargo)
Subaru,Legacy/Outback,outback awd
Gmc,Acadia,acadia awd
Chevrolet,Malibu,malibu eassist
Volkswagen,Beetle,beetle convertible
Cadillac,Cts,cts sedan awd
Mercedes-Benz,E-Class,e63 amg s 4matic
Chrysler,Town And Country,town and country
Dodge,Lancer,lancer
Mini,Countryman,cooper countryman
Mini,Paceman,cooper s paceman all4
Dodge,600,600
Bmw,3 Series,320i xdrive
Chevrolet,Sonic,sonic rs
Lotus,Evora,evora
Plymouth,Caravelle,caravelle
Mazda,3,3 5-door
Chrysler,300,300
Ford,E250 Van,e250 van ffv
Toyota,Corolla,corolla le eco
Hyundai,Santa Fe,santa fe 2wd
Porsche,911,911 targa 4
Nissan,Xterra,xterra 2wd
Hyundai,Elantra,elantra gt
Land Rover,Lr2,lr2
Hyundai,Accent,accent
Cadillac,Escalade,escalade 2wd
Ford,Transit Connect,transit connect van 2wd
Audi,A3,a3 quattro
Pontiac,Bonneville,bonneville
Mini,Cooper,cooper s (3-doors)
Volvo,V60,v60 fwd
Volvo,Xc70,xc70 awd
Porsche,918 Spyder,918 spyder
Audi,S6,s6
Honda,Civic,civic wagon
Audi,A4,a4 quattro
Hyundai,Santa Fe,santa fe ultimate 2wd
Hyundai,Tucson,tucson awd
Fiat,500,500
Mercedes-Benz,C-Class,c350 4matic coupe
Mercedes-Benz,C-Class,c400 4matic
Volkswagen,Jetta,jetta
Chevrolet,Express Passenger,express 2500 2wd passenger
Volkswagen,Quantum,quantum wagon
Jeep,Cherokee,cherokee trailhawk 4wd
Bmw,7 Series,alpina b7 lwb xdrive
Dodge,Grand Caravan,grand caravan
Bmw,X5,x5 sdrive35i
Bmw,X5,x5 xdrive50i
Mercedes-Benz,C-Class,c300 4matic
Toyota,Prius,prius
Bmw,5 Series,535i gran turismo
Chevrolet,Silverado,silverado k15 4wd
Kia,Sedona,sedona sx
Ford,Mustang,mustang
Ford,Escape,escape awd
Honda,Crosstour,crosstour 4wd
Infiniti,Q50,q50 hybrid awd
Lexus,Gs,gs 450h
Subaru,Crosstrek,xv crosstrek hybrid awd
Mini,Cooper,cooper s (5-doors)
Honda,Hr-V,hr-v 4wd
Mini,John Cooper Works,john cooper works hardtop
Bmw,Z4,z4 sdrive35is
Bmw,6 Series,640i gran coupe
Hyundai,Sonata,sonata hybrid se
Volvo,S60,s60 polestar awd
Kia,Soul,soul eco dynamics
Fiat,500 X,500 x awd
Porsche,911,911 carrera cabriolet
Porsche,911,911 carrera 4s cabriolet
Isuzu,Pickup,pickup 2wd
